transaction_id,account_id,transaction_timestamp,transaction_type,merchant_id,merchant_name,merchant_category,amount,currency,transaction_status,card_present_flag,source_system
TXN00000019,ACC000363,2026-03-06T10:14:50,PURCHASE,M011,Airbnb,TRAVEL,174.94,USD,POSTED,N,CARD_PROCESSOR
TXN00000020,ACC000044,2026-07-03T16:14:09,PURCHASE,M011,Airbnb,TRAVEL,45.19,USD,POSTED,Y,CARD_PROCESSOR
TXN00000021,ACC000315,2026-07-06T11:37:00,PURCHASE,M005,Delta,TRAVEL,128.95,USD,POSTED,N,CARD_PROCESSOR
TXN00000022,ACC000301,2026-02-18T08:18:19,PURCHASE,M012,CVS,PHARMACY,38.72,USD,POSTED,N,CARD_PROCESSOR
TXN00000023,ACC000182,2026-04-29T16:54:28,PURCHASE,M007,Netflix,SUBSCRIPTION,30.1,USD,POSTED,Y,CARD_PROCESSOR
TXN00000024,ACC000078,2026-04-08T23:01:02,PURCHASE,M006,Whole Foods,GROCERY,12.83,USD,POSTED,Y,CARD_PROCESSOR
TXN00000025,ACC000084,2026-02-17T07:54:01,PURCHASE,M010,Starbucks,DINING,10.57,USD,POSTED,Y,CARD_PROCESSOR
TXN00000026,ACC000273,2026-02-10T11:03:03,PURCHASE,M007,Netflix,SUBSCRIPTION,20.68,USD,POSTED,N,CARD_PROCESSOR
TXN00000027,ACC000088,2026-06-20T02:10:32,REFUND,M008,Shell,FUEL,-24.99,USD,POSTED,N,CARD_PROCESSOR
TXN00000028,ACC000079,2026-05-13T17:59:39,PURCHASE,M004,Uber,TRANSPORT,80.84,USD,POSTED,Y,CARD_PROCESSOR
TXN00000029,ACC000191,2026-03-21T22:31:05,PURCHASE,M011,Airbnb,TRAVEL,105.15,USD,POSTED,Y,CARD_PROCESSOR
TXN00000030,ACC000207,2026-05-02T02:17:53,PURCHASE,M010,Starbucks,DINING,8.91,USD,DECLINED,Y,CARD_PROCESSOR
TXN00000031,ACC000176,2026-05-02T10:12:49,PURCHASE,M011,Airbnb,TRAVEL,192.68,USD,POSTED,N,CARD_PROCESSOR
TXN00000032,ACC000349,2026-02-28T21:35:04,PURCHASE,M010,Starbucks,DINING,90.49,USD,POSTED,Y,CARD_PROCESSOR
TXN00000033,ACC000176,2026-01-25T13:59:10,PURCHASE,M009,Best Buy,ELECTRONICS,103.58,USD,POSTED,N,CARD_PROCESSOR
TXN00000034,ACC000038,2026-04-10T07:02:00,PURCHASE,M008,Shell,FUEL,66.05,USD,POSTED,Y,CARD_PROCESSOR
TXN00000035,ACC000261,2026-02-27T23:02:57,PURCHASE,M004,Uber,TRANSPORT,8.81,USD,POSTED,N,CARD_PROCESSOR
TXN00000036,ACC000179,2026-03-22T22:01:08,PURCHASE,M008,Shell,FUEL,75.33,USD,POSTED,Y,CARD_PROCESSOR
TXN00000037,ACC000166,2026-01-16T07:05:51,PURCHASE,M012,CVS,PHARMACY,35.92,USD,POSTED,Y,CARD_PROCESSOR
TXN00000038,ACC000167,2026-02-22T05:14:42,PURCHASE,M005,Delta,TRAVEL,245.79,USD,REVERSED,N,CARD_PROCESSOR
TXN00000039,ACC000346,2026-05-23T05:42:55,PURCHASE,M007,Netflix,SUBSCRIPTION,64.49,USD,POSTED,N,CARD_PROCESSOR
TXN00000040,ACC000110,2026-06-05T16:30:19,PURCHASE,M012,CVS,PHARMACY,13.56,USD,POSTED,Y,CARD_PROCESSOR
TXN00000041,ACC000183,2026-05-03T13:25:42,PURCHASE,M009,Best Buy,ELECTRONICS,26.58,USD,POSTED,Y,CARD_PROCESSOR
TXN00000042,ACC000183,2026-01-09T23:26:00,PURCHASE,M010,Starbucks,DINING,14.05,USD,POSTED,Y,CARD_PROCESSOR
TXN00000043,ACC000074,2026-01-17T02:28:19,PURCHASE,M008,Shell,FUEL,4.4,USD,POSTED,N,CARD_PROCESSOR
TXN00000044,ACC000191,2026-04-16T12:30:32,PURCHASE,M002,Walmart,RETAIL,77.32,USD,POSTED,N,CARD_PROCESSOR
TXN00000045,ACC000086,2026-01-23T07:32:45,PURCHASE,M009,Best Buy,ELECTRONICS,29.97,USD,POSTED,Y,CARD_PROCESSOR
TXN00000046,ACC000032,2026-06-24T20:18:16,PURCHASE,M011,Airbnb,TRAVEL,203.54,USD,DECLINED,Y,CARD_PROCESSOR
TXN00000047,ACC000275,2026-03-24T14:06:33,PURCHASE,M006,Whole Foods,GROCERY,125.42,USD,POSTED,N,CARD_PROCESSOR
TXN00000048,ACC000015,2026-07-02T15:06:26,PURCHASE,M011,Airbnb,TRAVEL,215.39,USD,POSTED,Y,CARD_PROCESSOR
TXN00000049,ACC000196,2026-01-21T21:10:29,PURCHASE,M012,CVS,PHARMACY,125.69,USD,POSTED,Y,CARD_PROCESSOR
TXN00000050,ACC000295,2026-06-10T22:40:30,PURCHASE,M001,Amazon,E_COMMERCE,14.22,USD,POSTED,Y,CARD_PROCESSOR
TXN00000051,ACC000336,2026-03-27T07:07:40,PURCHASE,M005,Delta,TRAVEL,79.72,USD,POSTED,N,CARD_PROCESSOR
TXN00000052,ACC000113,2026-01-29T01:31:00,PURCHASE,M003,Target,RETAIL,26.68,USD,POSTED,N,CARD_PROCESSOR
TXN00000053,ACC000121,2026-03-19T13:08:28,PURCHASE,M010,Starbucks,DINING,27.76,USD,PENDING,N,CARD_PROCESSOR
TXN00000054,ACC000124,2026-01-07T11:16:59,REFUND,M009,Best Buy,ELECTRONICS,-72.16,USD,POSTED,N,CARD_PROCESSOR
TXN00000055,ACC000253,2026-06-04T06:01:00,PURCHASE,M007,Netflix,SUBSCRIPTION,132.79,USD,POSTED,Y,CARD_PROCESSOR
TXN00000056,ACC000043,2026-01-28T00:00:35,PURCHASE,M010,Starbucks,DINING,162.26,USD,DECLINED,Y,CARD_PROCESSOR
TXN00000057,ACC000171,2026-04-08T20:41:03,REFUND,M008,Shell,FUEL,-17.48,USD,POSTED,N,CARD_PROCESSOR
TXN00000058,ACC000042,2026-04-17T23:47:52,PURCHASE,M005,Delta,TRAVEL,380.42,USD,POSTED,Y,CARD_PROCESSOR
TXN00000059,ACC000067,2026-06-24T01:06:20,PURCHASE,M011,Airbnb,TRAVEL,116.91,USD,POSTED,N,CARD_PROCESSOR
TXN00000060,ACC000153,2026-06-29T20:30:23,PURCHASE,M001,Amazon,E_COMMERCE,29.09,USD,POSTED,N,CARD_PROCESSOR
TXN00000061,ACC000019,2026-05-08T15:44:47,REFUND,M001,Amazon,E_COMMERCE,-86.9,USD,POSTED,Y,CARD_PROCESSOR
TXN00000062,ACC000364,2026-03-13T10:15:05,PURCHASE,M002,Walmart,RETAIL,53.03,USD,POSTED,Y,CARD_PROCESSOR
TXN00000063,ACC000134,2026-04-25T00:04:15,PURCHASE,M012,CVS,PHARMACY,70.69,USD,POSTED,Y,CARD_PROCESSOR
TXN00000064,ACC000028,2026-04-04T03:13:08,PURCHASE,M005,Delta,TRAVEL,241.95,USD,POSTED,N,CARD_PROCESSOR
TXN00000065,ACC000304,2026-02-07T11:40:36,PURCHASE,M009,Best Buy,ELECTRONICS,61.42,USD,POSTED,N,CARD_PROCESSOR
TXN00000066,ACC000195,2026-02-07T18:00:16,PURCHASE,M005,Delta,TRAVEL,430.08,USD,POSTED,Y,CARD_PROCESSOR
TXN00000067,ACC000187,2026-06-15T16:59:12,PURCHASE,M006,Whole Foods,GROCERY,27.57,USD,POSTED,N,CARD_PROCESSOR
TXN00000068,ACC000279,2026-02-07T21:48:04,PURCHASE,M011,Airbnb,TRAVEL,106.31,USD,POSTED,Y,CARD_PROCESSOR
TXN00000069,ACC000220,2026-04-18T04:04:24,PURCHASE,M002,Walmart,RETAIL,35.84,USD,POSTED,Y,CARD_PROCESSOR
TXN00000070,ACC000130,2026-07-01T12:11:35,PURCHASE,M011,Airbnb,TRAVEL,231.42,USD,PENDING,N,CARD_PROCESSOR
TXN00000071,ACC000125,2026-03-31T14:51:17,PURCHASE,M010,Starbucks,DINING,8.84,USD,POSTED,Y,CARD_PROCESSOR
TXN00000072,ACC000002,2026-01-28T18:01:47,PURCHASE,M009,Best Buy,ELECTRONICS,91.7,USD,POSTED,Y,CARD_PROCESSOR
TXN00000073,ACC000106,2026-01-05T01:07:56,PURCHASE,M001,Amazon,E_COMMERCE,21.29,USD,POSTED,Y,CARD_PROCESSOR
TXN00000074,ACC000144,2026-01-31T15:21:41,PURCHASE,M008,Shell,FUEL,21.53,USD,POSTED,N,CARD_PROCESSOR
TXN00000075,ACC000351,2026-06-01T01:31:28,PURCHASE,M010,Starbucks,DINING,33.12,USD,POSTED,N,CARD_PROCESSOR
TXN00000076,ACC000296,2026-04-19T21:22:35,REFUND,M002,Walmart,RETAIL,-45.51,USD,POSTED,Y,CARD_PROCESSOR
TXN00000077,ACC000212,2026-05-05T03:09:40,PURCHASE,M001,Amazon,E_COMMERCE,30.13,USD,POSTED,Y,CARD_PROCESSOR
TXN00000078,ACC000251,2026-03-28T08:47:17,PURCHASE,M007,Netflix,SUBSCRIPTION,46.29,USD,POSTED,N,CARD_PROCESSOR
TXN00000079,ACC000123,2026-04-16T03:27:25,PURCHASE,M010,Starbucks,DINING,127.09,USD,POSTED,N,CARD_PROCESSOR
TXN00000080,ACC000295,2026-07-05T01:46:25,PURCHASE,M011,Airbnb,TRAVEL,114.41,USD,POSTED,Y,CARD_PROCESSOR
TXN00000081,ACC000024,2026-06-03T12:03:59,PURCHASE,M005,Delta,TRAVEL,173.88,USD,POSTED,Y,CARD_PROCESSOR
TXN00000082,ACC000004,2026-06-17T06:25:51,PURCHASE,M007,Netflix,SUBSCRIPTION,14.51,USD,POSTED,Y,CARD_PROCESSOR
TXN00000083,ACC000246,2026-01-30T03:41:48,REFUND,M012,CVS,PHARMACY,-17.06,USD,POSTED,Y,CARD_PROCESSOR
TXN00000084,ACC000243,2026-04-04T15:39:17,PURCHASE,M008,Shell,FUEL,82.31,USD,POSTED,N,CARD_PROCESSOR
TXN00000085,ACC000241,2026-06-29T15:22:25,PURCHASE,M009,Best Buy,ELECTRONICS,228.81,USD,POSTED,Y,CARD_PROCESSOR
TXN00000086,ACC000077,2026-01-07T05:53:53,PURCHASE,M002,Walmart,RETAIL,13.84,USD,POSTED,N,CARD_PROCESSOR
TXN00000087,ACC000307,2026-05-03T02:25:58,PURCHASE,M005,Delta,TRAVEL,124.24,USD,POSTED,N,CARD_PROCESSOR
TXN00000088,ACC000007,2026-01-16T18:34:32,PURCHASE,M006,Whole Foods,GROCERY,57.8,USD,POSTED,Y,CARD_PROCESSOR
TXN00000089,ACC000171,2026-03-23T08:52:19,PURCHASE,M003,Target,RETAIL,11.98,USD,POSTED,N,CARD_PROCESSOR
TXN00000090,ACC000305,2026-06-10T19:42:42,PURCHASE,M011,Airbnb,TRAVEL,927.02,USD,POSTED,Y,CARD_PROCESSOR
TXN00000091,ACC000313,2026-03-05T22:49:34,PURCHASE,M003,Target,RETAIL,24.38,USD,POSTED,N,CARD_PROCESSOR
TXN00000092,ACC000025,2026-04-12T01:00:26,PURCHASE,M006,Whole Foods,GROCERY,4.82,USD,POSTED,Y,CARD_PROCESSOR
TXN00000093,ACC000072,2026-06-07T18:33:07,PURCHASE,M008,Shell,FUEL,217.92,USD,POSTED,N,CARD_PROCESSOR
TXN00000094,ACC000273,2026-04-21T21:50:19,PURCHASE,M002,Walmart,RETAIL,6.08,USD,POSTED,N,CARD_PROCESSOR
TXN00000095,ACC000359,2026-03-19T19:29:21,PURCHASE,M006,Whole Foods,GROCERY,310.79,USD,POSTED,N,CARD_PROCESSOR
TXN00000096,ACC000215,2026-05-31T20:23:44,PURCHASE,M012,CVS,PHARMACY,208.53,USD,POSTED,N,CARD_PROCESSOR
TXN00000097,ACC000190,2026-06-27T17:49:42,PURCHASE,M002,Walmart,RETAIL,40.98,USD,PENDING,N,CARD_PROCESSOR
TXN00000098,ACC000329,2026-02-28T11:23:52,PURCHASE,M009,Best Buy,ELECTRONICS,97.85,USD,POSTED,N,CARD_PROCESSOR
TXN00000099,ACC000107,2026-05-13T14:59:01,PURCHASE,M006,Whole Foods,GROCERY,12.88,USD,POSTED,Y,CARD_PROCESSOR
TXN00000100,ACC000166,2026-06-25T13:09:40,PURCHASE,M004,Uber,TRANSPORT,74.88,USD,POSTED,Y,CARD_PROCESSOR
TXN00000101,ACC000066,2026-07-05T10:36:42,PURCHASE,M012,CVS,PHARMACY,44.67,USD,POSTED,Y,CARD_PROCESSOR
TXN00000102,ACC000358,2026-04-06T08:56:35,PURCHASE,M008,Shell,FUEL,17.17,USD,POSTED,N,CARD_PROCESSOR
TXN00000103,ACC000081,2026-06-05T02:37:23,PURCHASE,M005,Delta,TRAVEL,235.71,USD,POSTED,N,CARD_PROCESSOR
TXN00000104,ACC000347,2026-06-02T03:56:06,PURCHASE,M008,Shell,FUEL,31.0,USD,POSTED,N,CARD_PROCESSOR
TXN00000105,ACC000031,2026-01-18T10:05:53,PURCHASE,M001,Amazon,E_COMMERCE,7.78,USD,POSTED,N,CARD_PROCESSOR
TXN00000106,ACC000113,2026-06-19T20:37:41,PURCHASE,M001,Amazon,E_COMMERCE,20.34,USD,POSTED,N,CARD_PROCESSOR
TXN00000107,ACC000304,2026-03-02T05:31:24,REFUND,M006,Whole Foods,GROCERY,-57.02,USD,POSTED,Y,CARD_PROCESSOR
TXN00000108,ACC000089,2026-05-27T22:21:35,PURCHASE,M002,Walmart,RETAIL,32.26,USD,POSTED,N,CARD_PROCESSOR
TXN00000109,ACC000337,2026-02-14T08:01:20,PURCHASE,M003,Target,RETAIL,55.69,USD,POSTED,N,CARD_PROCESSOR
TXN00000110,ACC000121,2026-01-26T02:59:07,PURCHASE,M004,Uber,TRANSPORT,24.97,USD,POSTED,N,CARD_PROCESSOR
TXN00000111,ACC000014,2026-03-11T07:28:06,PURCHASE,M009,Best Buy,ELECTRONICS,120.08,USD,POSTED,N,CARD_PROCESSOR
TXN00000112,ACC000013,2026-05-10T22:24:52,PURCHASE,M008,Shell,FUEL,23.46,USD,POSTED,Y,CARD_PROCESSOR
TXN00000113,ACC000332,2026-06-24T13:45:01,PURCHASE,M012,CVS,PHARMACY,12.75,USD,POSTED,N,CARD_PROCESSOR
TXN00000114,ACC000142,2026-03-16T08:24:23,REFUND,M012,CVS,PHARMACY,-6.1,USD,POSTED,Y,CARD_PROCESSOR
TXN00000115,ACC000356,2026-01-17T16:27:56,PURCHASE,M012,CVS,PHARMACY,40.12,USD,POSTED,N,CARD_PROCESSOR
TXN00000116,ACC000235,2026-04-22T09:16:53,PURCHASE,M002,Walmart,RETAIL,23.19,USD,POSTED,Y,CARD_PROCESSOR
TXN00000117,ACC000093,2026-05-30T23:29:02,PURCHASE,M004,Uber,TRANSPORT,35.26,USD,POSTED,N,CARD_PROCESSOR
TXN00000118,ACC000204,2026-02-28T03:16:32,PURCHASE,M001,Amazon,E_COMMERCE,50.52,USD,POSTED,N,CARD_PROCESSOR
TXN00000119,ACC000044,2026-03-07T16:29:48,PURCHASE,M009,Best Buy,ELECTRONICS,16.42,USD,POSTED,Y,CARD_PROCESSOR
TXN00000120,ACC000131,2026-03-21T06:04:00,PURCHASE,M007,Netflix,SUBSCRIPTION,34.67,USD,POSTED,Y,CARD_PROCESSOR
TXN00000121,ACC000162,2026-05-01T15:24:38,PURCHASE,M009,Best Buy,ELECTRONICS,80.4,USD,POSTED,Y,CARD_PROCESSOR
TXN00000122,ACC000038,2026-03-10T06:30:26,PURCHASE,M002,Walmart,RETAIL,43.1,USD,POSTED,Y,CARD_PROCESSOR
TXN00000123,ACC000085,2026-02-17T08:56:37,PURCHASE,M009,Best Buy,ELECTRONICS,68.7,USD,POSTED,Y,CARD_PROCESSOR
TXN00000124,ACC000275,2026-01-15T14:20:16,PURCHASE,M009,Best Buy,ELECTRONICS,16.77,USD,POSTED,N,CARD_PROCESSOR
TXN00000125,ACC000255,2026-04-27T06:22:36,PURCHASE,M004,Uber,TRANSPORT,116.56,USD,POSTED,Y,CARD_PROCESSOR
TXN00000126,ACC000038,2026-02-04T00:01:15,PURCHASE,M007,Netflix,SUBSCRIPTION,15.26,USD,POSTED,N,CARD_PROCESSOR
TXN00000127,ACC000289,2026-06-15T18:55:12,PURCHASE,M008,Shell,FUEL,17.55,USD,POSTED,N,CARD_PROCESSOR
TXN00000128,ACC000289,2026-02-12T18:19:09,PURCHASE,M007,Netflix,SUBSCRIPTION,66.87,USD,POSTED,N,CARD_PROCESSOR
TXN00000129,ACC000167,2026-06-04T15:00:55,PURCHASE,M002,Walmart,RETAIL,24.84,USD,POSTED,Y,CARD_PROCESSOR
TXN00000130,ACC000123,2026-06-13T05:21:29,PURCHASE,M007,Netflix,SUBSCRIPTION,26.85,USD,POSTED,N,CARD_PROCESSOR
TXN00000131,ACC000220,2026-02-06T00:35:46,PURCHASE,M004,Uber,TRANSPORT,16.35,USD,POSTED,Y,CARD_PROCESSOR
TXN00000132,ACC000256,2026-04-17T01:52:10,PURCHASE,M003,Target,RETAIL,19.86,USD,POSTED,N,CARD_PROCESSOR
TXN00000133,ACC000031,2026-04-30T14:04:26,PURCHASE,M006,Whole Foods,GROCERY,11.88,USD,POSTED,Y,CARD_PROCESSOR
TXN00000134,ACC000264,2026-04-01T12:04:04,PURCHASE,M002,Walmart,RETAIL,4.05,USD,POSTED,Y,CARD_PROCESSOR
TXN00000135,ACC000348,2026-04-06T00:52:44,PURCHASE,M009,Best Buy,ELECTRONICS,28.99,USD,POSTED,N,CARD_PROCESSOR
TXN00000136,ACC000160,2026-01-14T18:49:23,PURCHASE,M006,Whole Foods,GROCERY,116.88,USD,POSTED,Y,CARD_PROCESSOR
TXN00000137,ACC000369,2026-07-06T20:37:12,PURCHASE,M009,Best Buy,ELECTRONICS,11.94,USD,POSTED,Y,CARD_PROCESSOR
TXN00000138,ACC000079,2026-01-24T22:27:34,PURCHASE,M004,Uber,TRANSPORT,23.83,USD,POSTED,Y,CARD_PROCESSOR
TXN00000139,ACC000108,2026-05-26T07:03:03,PURCHASE,M007,Netflix,SUBSCRIPTION,14.7,USD,POSTED,N,CARD_PROCESSOR
TXN00000140,ACC000117,2026-01-17T05:56:56,PURCHASE,M001,Amazon,E_COMMERCE,76.56,USD,POSTED,N,CARD_PROCESSOR
TXN00000141,ACC000091,2026-05-07T04:09:33,PURCHASE,M011,Airbnb,TRAVEL,65.45,USD,DECLINED,N,CARD_PROCESSOR
TXN00000142,ACC000147,2026-05-23T19:56:57,PURCHASE,M010,Starbucks,DINING,13.91,USD,POSTED,N,CARD_PROCESSOR
TXN00000143,ACC000329,2026-02-27T00:48:33,PURCHASE,M004,Uber,TRANSPORT,28.34,USD,POSTED,N,CARD_PROCESSOR
TXN00000144,ACC000030,2026-03-18T09:22:49,PURCHASE,M010,Starbucks,DINING,14.99,USD,POSTED,Y,CARD_PROCESSOR
TXN00000145,ACC000256,2026-01-26T19:44:28,PURCHASE,M003,Target,RETAIL,33.69,USD,POSTED,N,CARD_PROCESSOR
TXN00000146,ACC000046,2026-02-11T22:41:05,PURCHASE,M004,Uber,TRANSPORT,21.09,USD,POSTED,Y,CARD_PROCESSOR
TXN00000147,ACC000241,2026-04-21T05:36:31,PURCHASE,M007,Netflix,SUBSCRIPTION,21.05,USD,POSTED,N,CARD_PROCESSOR
TXN00000148,ACC000220,2026-02-24T14:45:25,PURCHASE,M010,Starbucks,DINING,28.31,USD,POSTED,N,CARD_PROCESSOR
TXN00000149,ACC000088,2026-03-25T21:36:24,PURCHASE,M010,Starbucks,DINING,26.3,USD,POSTED,Y,CARD_PROCESSOR
TXN00000150,ACC000083,2026-04-20T17:56:12,PURCHASE,M009,Best Buy,ELECTRONICS,174.92,USD,POSTED,N,CARD_PROCESSOR
TXN00000151,ACC000098,2026-02-04T10:36:37,PURCHASE,M001,Amazon,E_COMMERCE,122.78,USD,POSTED,N,CARD_PROCESSOR
TXN00000152,ACC000369,2026-01-23T01:28:19,PURCHASE,M010,Starbucks,DINING,14.41,USD,REVERSED,Y,CARD_PROCESSOR
TXN00000153,ACC000024,2026-01-01T06:59:58,PURCHASE,M010,Starbucks,DINING,98.62,USD,POSTED,Y,CARD_PROCESSOR
TXN00000154,ACC000338,2026-02-05T02:21:52,PURCHASE,M005,Delta,TRAVEL,80.97,USD,POSTED,N,CARD_PROCESSOR
TXN00000155,ACC000335,2026-06-26T10:19:44,PURCHASE,M004,Uber,TRANSPORT,83.75,USD,POSTED,N,CARD_PROCESSOR
TXN00000156,ACC000165,2026-06-30T14:36:12,PURCHASE,M011,Airbnb,TRAVEL,30.46,USD,POSTED,Y,CARD_PROCESSOR
TXN00000157,ACC000138,2026-02-08T05:39:04,CASH_ADVANCE,M008,Shell,FUEL,70.46,USD,POSTED,Y,CARD_PROCESSOR
TXN00000158,ACC000159,2026-06-26T11:38:56,PURCHASE,M006,Whole Foods,GROCERY,53.7,USD,POSTED,N,CARD_PROCESSOR
TXN00000159,ACC000117,2026-06-17T01:13:54,PURCHASE,M008,Shell,FUEL,22.59,USD,POSTED,N,CARD_PROCESSOR
TXN00000160,ACC000217,2026-05-08T16:52:32,PURCHASE,M003,Target,RETAIL,51.98,USD,POSTED,Y,CARD_PROCESSOR
TXN00000161,ACC000183,2026-07-01T15:22:38,PURCHASE,M012,CVS,PHARMACY,15.35,USD,POSTED,N,CARD_PROCESSOR
TXN00000162,ACC000082,2026-02-05T08:44:20,PURCHASE,M001,Amazon,E_COMMERCE,34.59,USD,POSTED,Y,CARD_PROCESSOR
TXN00000163,ACC000231,2026-01-03T22:59:36,PURCHASE,M001,Amazon,E_COMMERCE,23.02,USD,POSTED,Y,CARD_PROCESSOR
TXN00000164,ACC000266,2026-02-21T07:41:04,PURCHASE,M009,Best Buy,ELECTRONICS,5.0,USD,POSTED,N,CARD_PROCESSOR
TXN00000165,ACC000292,2026-05-16T21:29:56,PURCHASE,M007,Netflix,SUBSCRIPTION,54.46,USD,DECLINED,Y,CARD_PROCESSOR
TXN00000166,ACC000251,2026-06-01T19:55:12,PURCHASE,M012,CVS,PHARMACY,29.83,USD,POSTED,Y,CARD_PROCESSOR
TXN00000167,ACC000261,2026-04-29T22:09:51,PURCHASE,M007,Netflix,SUBSCRIPTION,164.63,USD,POSTED,N,CARD_PROCESSOR
TXN00000168,ACC000168,2026-01-10T08:21:17,PURCHASE,M011,Airbnb,TRAVEL,327.49,USD,POSTED,Y,CARD_PROCESSOR
TXN00000169,ACC000249,2026-04-12T00:04:54,PURCHASE,M004,Uber,TRANSPORT,1.82,USD,POSTED,N,CARD_PROCESSOR
TXN00000170,ACC000011,2026-07-07T23:18:08,PURCHASE,M009,Best Buy,ELECTRONICS,280.87,USD,POSTED,Y,CARD_PROCESSOR
TXN00000171,ACC000294,2026-05-22T10:28:10,PURCHASE,M011,Airbnb,TRAVEL,725.24,USD,POSTED,Y,CARD_PROCESSOR
TXN00000172,ACC000237,2026-03-26T23:33:03,PURCHASE,M002,Walmart,RETAIL,14.31,USD,PENDING,N,CARD_PROCESSOR
TXN00000173,ACC000093,2026-03-16T09:21:37,PURCHASE,M011,Airbnb,TRAVEL,28.55,USD,POSTED,N,CARD_PROCESSOR
TXN00000174,ACC000174,2026-06-27T19:58:36,PURCHASE,M009,Best Buy,ELECTRONICS,42.87,USD,POSTED,Y,CARD_PROCESSOR
TXN00000175,ACC000137,2026-03-11T06:30:58,PURCHASE,M002,Walmart,RETAIL,9.89,USD,POSTED,N,CARD_PROCESSOR
TXN00000176,ACC000282,2026-05-04T22:22:06,PURCHASE,M002,Walmart,RETAIL,21.87,USD,POSTED,N,CARD_PROCESSOR
TXN00000177,ACC000105,2026-03-06T00:39:49,REFUND,M009,Best Buy,ELECTRONICS,-212.04,USD,POSTED,Y,CARD_PROCESSOR
TXN00000178,ACC000090,2026-03-29T05:50:16,PURCHASE,M003,Target,RETAIL,37.41,USD,REVERSED,N,CARD_PROCESSOR
TXN00000179,ACC000019,2026-04-10T15:44:35,PURCHASE,M006,Whole Foods,GROCERY,8.21,USD,POSTED,Y,CARD_PROCESSOR
TXN00000180,ACC000342,2026-05-04T21:20:54,PURCHASE,M011,Airbnb,TRAVEL,415.94,USD,POSTED,N,CARD_PROCESSOR
TXN00000181,ACC000307,2026-04-10T11:43:53,PURCHASE,M008,Shell,FUEL,44.94,USD,POSTED,Y,CARD_PROCESSOR
TXN00000182,ACC000316,2026-01-05T13:33:49,PURCHASE,M006,Whole Foods,GROCERY,51.24,USD,DECLINED,N,CARD_PROCESSOR
TXN00000183,ACC000049,2026-01-25T21:39:01,PURCHASE,M003,Target,RETAIL,38.49,USD,POSTED,N,CARD_PROCESSOR
TXN00000184,ACC000067,2026-01-09T23:13:54,PURCHASE,M010,Starbucks,DINING,20.99,USD,POSTED,Y,CARD_PROCESSOR
TXN00000185,ACC000032,2026-06-20T04:59:06,PURCHASE,M005,Delta,TRAVEL,1640.06,USD,POSTED,Y,CARD_PROCESSOR
